111K8kZAEnJg245r2cM6y9zgJGHZtJPy6,TRUE,100050000,100050000,0,2,105571333,0,105571333,0,2,0,0,100020879,0,100020879,0,2,0,0
1123pJv8jzeFQaCV4w644pzQJzVWay2zcA,TRUE,100000000,100000000,0,2,183157737.2,131152259,183273746,131075405.7,2.095238095,0.42591771,116008.7619,0,0,0,0,0,0,0
112536im7hy6wtKbpH1qYDWtTyMRAcA2p7,TRUE,200000000,200000000,0,2,17286666.67,2489509.099,17286666.67,2489509.099,2,0,0,199971217,0,199971217,0,2,0,0
1126eDRw2wqSkWosjTCre8cjjQW8sSeWH7,TRUE,71200000,71200000,0,2,71230454,0,71230454,0,3,0,0,71170577,0,71170577,0,2,0,0
1129TSjKtx65E35GiUo4AYVeyo48twbrGX,TRUE,200000000,200000000,0,2,872000166.5,2503535833,872000166.5,2503535833,2.095238095,0.42591771,0,0,0,0,0,0,0,0
112AmFATxzhuSpvtz1hfpa3Zrw3BG276pc,TRUE,50000000,50000000,0,2,10345417614,43991331888,10345417614,43991331888,755.8,3285.508615,0,0,0,0,0,0,0,0
112E91jxS2qrQY1z78LPWUWrLVFGqbYPQ1,TRUE,100000000,100000000,0,2,740120000,0,740120000,0,2,0,0,99972107,0,99972107,0,2,0,0
112eFykaD53KEkKeYW9KW8eWebZYSbt2f5,TRUE,100990000,100990000,0,2,704244086,0,704244086,0,2,0,0,183614854,0,183614854,0,4,0,0
112FTiRdJjMrNgEtd4fvdoq3TC33Ah5Dep,TRUE,80000000,80000000,0,2,2.11E+14,0,2.11E+14,0,20352,0,0,79976691,0,79976691,0,2,0,0
112GocBgFSnaote6krx828qaockFraD8mp,TRUE,50000000,50000000,0,2,83508100.48,89023019.81,83643928.86,88973968.43,2.857142857,0.989743319,135828.381,0,0,0,0,0,0,0
112gXL4AeJ62DX3htuLhBc3MtY5U6X5J28,TRUE,100000000,100000000,0,2,41286251631,1.79E+11,41286251631,1.79E+11,2.2,0.6,0,3500951876,3499048124,3500951876,3499048124,2,0,0
112nEBUadWiMxzUUASNZpQ9AvePtrJVuca,TRUE,108560000,108560000,0,2,343350147,0,343470619,0,9,0,120472,143513797,0,143513797,0,4,0,0
112Ns49UobQn1cX1G1axs1cmGvjFBxVxvf,TRUE,113976642,113976642,0,4,738029129.3,1186879669,738029129.3,1186879669,6.133333333,4.978174587,0,503651771,466774513.2,503651771,466774513.2,2,0,0
112vq2Wt7Mo8RD5jCKMR2PFNxAoT17ffxD,TRUE,56000000,56000000,0,2,68470000,0,68470000,0,2,0,0,135948398,0,135948398,0,4,0,0
112wED5uHhY1aiSaWAzgeMDaCKFcCvj9Pn,TRUE,360000000,360000000,0,6,2283537627,7687890742,2283537627,7687890742,9.205882353,24.12806446,0,474517906.2,448706108.7,474517906.2,448706108.7,2,0,0
112wjYgWapZU8gTPR7hLoKq8iEh496vKxP,TRUE,550000000,550000000,0,2,639435214.3,1270011814,639435214.3,1270011814,5,8.729261137,0,19856000146,19854999855,19856000146,19854999855,6,4,0
1131P1hjj7h9NinHRCkNwGFifK4gGoe5EF,TRUE,500000000,500000000,0,2,1653068734,6328870478,1653075622,6328872095,43.125,124.6004657,6887.916667,0,0,0,0,0,0,0
1132fapAqQVQJjZipWzJPKYxF4LNSDEvuc,TRUE,200000000,200000000,0,2,208320000,0,208320000,0,2,0,0,354956188,0,354956188,0,6,0,0
1136MFiqBmoVWpqWr1okF3D5XMabwVLB5z,TRUE,101000000,101000000,0,2,499255281.1,955830808.8,499256430.1,955835750.9,5.85,15.87537401,1149,1.08E+11,1.08E+11,1.08E+11,1.08E+11,59.5,57.5,0
11382a48qWatCiSqVNBFzuKN91M7Dcdev,TRUE,50000000,50000000,0,2,226726828.6,491949538.9,226726828.6,491949538.9,2.714285714,2.978380147,0,0,0,0,0,0,0,0
113aZAjq9fkTY3qeBE4C3ojrXyQFKg5Nnd,TRUE,200000000,200000000,0,2,1173085192,0,1173085192,0,2,0,0,524994996,0,524994996,0,6,0,0
